mac,rssi[db],Latitude,Longitude,Altitude,range[cm]
e4:b3:18:9f:bf:9b,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c1:94,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:4f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:e2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:b9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:a2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:be,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:ec,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:aa,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:31,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:d9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:9b,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c1:94,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:4f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:e2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:b9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:a2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:be,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:ec,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:aa,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:31,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:d9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:9b,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c1:94,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:4f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:e2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:b9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:a2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:be,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:ec,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:aa,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:31,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:d9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:9b,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c1:94,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:4f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:e2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:b9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:a2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:be,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:ec,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:aa,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:31,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:d9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:9b,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c1:94,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:4f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:e2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:b9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:a2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:be,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:ec,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:aa,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:31,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:d9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:9b,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c1:94,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:4f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:e2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:b9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:a2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:be,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:ec,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:aa,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:31,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:d9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:9b,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c1:94,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:4f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:e2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:b9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:a2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:be,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:ec,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:aa,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:31,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:d9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:9b,-120,32.1087281,34.8050109,0.165485531,0.0
e4:b3:18:9f:c1:94,-120,32.1087281,34.8050109,0.165485531,0.0
e4:b3:18:9f:c0:4f,-120,32.1087281,34.8050109,0.165485531,0.0
e4:b3:18:c3:63:e2,-120,32.1087254,34.805009,0.173039004,0.0
e4:b3:18:9f:bf:b9,-120,32.1087254,34.805009,0.173039004,0.0
e4:b3:18:c3:62:a2,-120,32.1087254,34.805009,0.173039004,0.0
e4:b3:18:9f:bf:be,-120,32.1087254,34.805009,0.173039004,0.0
e4:b3:18:c3:63:ec,-120,32.1087254,34.805009,0.173039004,0.0
e4:b3:18:9f:bf:aa,-120,32.1087281,34.8050109,0.165485531,0.0
e4:b3:18:9f:c0:31,-120,32.1087291,34.8050117,0.163620412,0.0
e4:b3:18:c3:62:d9,-120,32.1087291,34.8050117,0.163620412,0.0
e4:b3:18:9f:bf:9b,-120,32.1087928,34.8050568,0.165618062,0.0
e4:b3:18:9f:c1:94,-120,32.1087928,34.8050568,0.165618062,0.0
e4:b3:18:9f:c0:4f,-120,32.1087928,34.8050568,0.165618062,0.0
e4:b3:18:c3:63:e2,-120,32.1087895,34.8050545,0.170821875,0.0
e4:b3:18:9f:bf:b9,-120,32.1087895,34.8050545,0.170821875,0.0
e4:b3:18:c3:62:a2,-120,32.1087895,34.8050545,0.170821875,0.0
e4:b3:18:9f:bf:be,-120,32.1087895,34.8050545,0.170821875,0.0
e4:b3:18:c3:63:ec,-120,32.1087895,34.8050545,0.170821875,0.0
e4:b3:18:9f:bf:aa,-120,32.1087928,34.8050568,0.165618062,0.0
e4:b3:18:9f:c0:31,-120,32.108794,34.8050575,0.165618062,0.0
e4:b3:18:c3:62:d9,-120,32.108794,34.8050575,0.165618062,0.0
e4:b3:18:9f:bf:9b,-120,32.1088634,34.8051087,0.140966371,0.0
e4:b3:18:9f:c1:94,-120,32.1088634,34.8051087,0.140966371,0.0
e4:b3:18:9f:c0:4f,-120,32.1088634,34.8051087,0.140966371,0.0
e4:b3:18:c3:63:e2,-120,32.1088604,34.8051064,0.142581552,0.0
e4:b3:18:9f:bf:b9,-120,32.1088604,34.8051064,0.142581552,0.0
e4:b3:18:c3:62:a2,-120,32.1088604,34.8051064,0.142581552,0.0
e4:b3:18:9f:bf:be,-120,32.1088604,34.8051064,0.142581552,0.0
e4:b3:18:c3:63:ec,-120,32.1088604,34.8051064,0.142581552,0.0
e4:b3:18:9f:bf:aa,-120,32.1088634,34.8051087,0.140966371,0.0
e4:b3:18:9f:c0:31,-120,32.1088655,34.8051104,0.131022841,0.0
e4:b3:18:c3:62:d9,-120,32.1088655,34.8051104,0.131022841,0.0
e4:b3:18:9f:bf:9b,-120,32.1088851,34.805177,0.0605443232,0.0
e4:b3:18:9f:c1:94,-120,32.1088851,34.805177,0.0605443232,0.0
e4:b3:18:9f:c0:4f,-120,32.1088851,34.805177,0.0605443232,0.0
e4:b3:18:c3:63:e2,-120,32.1088868,34.8051733,0.0573875532,0.0
e4:b3:18:9f:bf:b9,-120,32.1088868,34.8051733,0.0573875532,0.0
e4:b3:18:c3:62:a2,-120,32.1088868,34.8051733,0.0573875532,0.0
e4:b3:18:9f:bf:be,-120,32.1088868,34.8051733,0.0573875532,0.0
e4:b3:18:c3:63:ec,-120,32.1088868,34.8051733,0.0573875532,0.0
e4:b3:18:9f:bf:aa,-120,32.1088851,34.805177,0.0605443232,0.0
e4:b3:18:9f:c0:31,-120,32.1088845,34.8051784,0.0604868457,0.0
e4:b3:18:c3:62:d9,-120,32.1088845,34.8051784,0.0604868457,0.0
e4:b3:18:9f:bf:9b,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c1:94,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c0:4f,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:63:e2,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:b9,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:62:a2,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:be,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:63:ec,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:aa,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c0:31,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:62:d9,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:9b,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c1:94,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c0:4f,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:63:e2,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:b9,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:62:a2,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:be,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:63:ec,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:aa,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c0:31,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:62:d9,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:9b,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c1:94,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c0:4f,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:63:e2,-120,32.108878,34.8051923,0.120892584,0.0
