Name,Latitude,Longitude,Category,Colour,IconScale,IconColor,LabelScale,Folder,Icon
p1,32.1086076,34.8047626,1,1,0.5,Red,0.3,one,100
p2,32.1086076,34.8047626,1,1,0.5,Red,0.3,one,100
p3,32.1088341,34.8052631,1,1,0.5,Red,0.3,one,100
p4,32.10887584,34.80518219,1,1,0.5,Red,0.3,one,100
p5,32.1088403,34.8052278,1,1,0.5,Red,0.3,one,100
p6,32.1088447,34.8052696,1,1,0.5,Red,0.3,one,100
p7,32.1088341,34.8052631,1,1,0.5,Red,0.3,one,100
p8,32.1088394,34.8052783,1,1,0.5,Red,0.3,one,100
p9,32.1088344,34.8052862,1,1,0.5,Red,0.3,one,100
p10,32.1088297,34.8052952,1,1,0.5,Red,0.3,one,100
p11,32.1088297,34.8052952,1,1,0.5,Red,0.3,one,100
p12,32.1088258,34.8053044,1,1,0.5,Red,0.3,one,100
p13,32.1088199,34.805314,1,1,0.5,Red,0.3,one,100
p14,32.1088155,34.8053232,1,1,0.5,Red,0.3,one,100
p15,32.1088111,34.8053324,1,1,0.5,Red,0.3,one,100
p16,32.1088111,34.8053324,1,1,0.5,Red,0.3,one,100
p17,32.1088067,34.8053407,1,1,0.5,Red,0.3,one,100
p18,32.1087591,34.8054325,1,1,0.5,Red,0.3,one,100
p19,32.1087591,34.8054325,1,1,0.5,Red,0.3,one,100
p20,32.10875,34.8054487,1,1,0.5,Red,0.3,one,100
p21,32.10875,34.8054487,1,1,0.5,Red,0.3,one,100
p22,32.10874,34.805468,1,1,0.5,Red,0.3,one,100
p23,32.10874,34.805468,1,1,0.5,Red,0.3,one,100
p24,32.108878,34.8051923,1,1,0.5,Red,0.3,one,100
p25,32.1087367,34.8054754,1,1,0.5,Red,0.3,one,100
p26,32.108721,34.8054792,1,1,0.5,Red,0.3,one,100
p27,32.108878,34.8051923,1,1,0.5,Red,0.3,one,100
p28,32.1087264,34.8054944,1,1,0.5,Red,0.3,one,100
p29,32.108878,34.8051923,1,1,0.5,Red,0.3,one,100
p30,32.1087122,34.8054952,1,1,0.5,Red,0.3,one,100
p31,32.108878,34.8051923,1,1,0.5,Red,0.3,one,100
p32,32.108878,34.8051923,1,1,0.5,Red,0.3,one,100
p33,32.10871906,34.80550143,1,1,0.5,Red,0.3,one,100
p34,32.1087255,34.8054706,1,1,0.5,Red,0.3,one,100
p35,32.108878,34.8051923,1,1,0.5,Red,0.3,one,100
p36,32.1087298,34.8054617,1,1,0.5,Red,0.3,one,100
p37,32.1087264,34.8054944,1,1,0.5,Red,0.3,one,100
p38,32.1087399,34.8054432,1,1,0.5,Red,0.3,one,100
p39,32.1087448,34.8054337,1,1,0.5,Red,0.3,one,100
p40,32.1087298,34.8054617,1,1,0.5,Red,0.3,one,100
p41,32.10875,34.8054487,1,1,0.5,Red,0.3,one,100
p42,32.1087533,34.8054164,1,1,0.5,Red,0.3,one,100
p43,32.1087581,34.8054068,1,1,0.5,Red,0.3,one,100
p44,32.1087536,34.8054402,1,1,0.5,Red,0.3,one,100
p45,32.1087636,34.8053978,1,1,0.5,Red,0.3,one,100
p46,32.1087591,34.8054325,1,1,0.5,Red,0.3,one,100
p47,32.1087736,34.8053801,1,1,0.5,Red,0.3,one,100
p48,32.1087779,34.805371,1,1,0.5,Red,0.3,one,100
p49,32.108878,34.8051923,1,1,0.5,Red,0.3,one,100
p50,32.1087822,34.8053617,1,1,0.5,Red,0.3,one,100
p51,32.1087864,34.8053534,1,1,0.5,Red,0.3,one,100
p52,32.1087925,34.8053432,1,1,0.5,Red,0.3,one,100
p53,32.1087925,34.8053432,1,1,0.5,Red,0.3,one,100
p54,32.1087974,34.8053343,1,1,0.5,Red,0.3,one,100
p55,32.1088006,34.8053253,1,1,0.5,Red,0.3,one,100
p56,32.1088052,34.8053161,1,1,0.5,Red,0.3,one,100
p57,32.1088052,34.8053161,1,1,0.5,Red,0.3,one,100
p58,32.1088109,34.8053063,1,1,0.5,Red,0.3,one,100
p59,32.1088147,34.8052982,1,1,0.5,Red,0.3,one,100
p60,32.1088147,34.8052982,1,1,0.5,Red,0.3,one,100
p61,32.1088199,34.8052888,1,1,0.5,Red,0.3,one,100
p62,32.1088245,34.8052802,1,1,0.5,Red,0.3,one,100
